,Title,Published_date,Views,Likes,Comments,Month
0,DAX in Power BI,2026-05-22,5149,178,0,May
1,"2026 FREE Data Analyst Bootcamp [24 Hours+] for FREE | SQL, Excel, Python, Power BI, GitHub, AWS",2026-05-19,118538,8737,454,May
2,Should You Take Google's AI Certificate? My Honest Take,2026-05-11,9442,327,21,May
3,Switching to Mac after 10 years as a Microsoft User,2026-05-05,5422,211,71,May
4,Learn ETL Pipelines in Databricks in Under 1 Hour | Data Engineering in Databricks,2026-04-28,11482,366,9,Apr
5,Full End-to-End Data Engineering Project in Databricks,2026-04-21,12142,333,18,Apr
6,Alex The Analyst April Livestream!,2026-04-17,4744,151,4,Apr
7,Job Orchestration in Databricks | Data Engineering in Databricks,2026-04-14,4239,109,6,Apr
8,Building ETL Pipelines in Databricks | Data Engineering in Databricks,2026-04-07,11395,326,11,Apr
9,ETL vs ELT,2026-04-02,7517,314,7,Apr
10,Ingesting Data into Databricks | Data Engineering in Databricks,2026-03-31,8602,269,17,Mar
11,Semantic Layers in the Age of AI are 100% Needed,2026-03-24,8283,281,15,Mar
12,Microsoft Copilot Cowork Just Launched | Here's What You Need to Know,2026-03-17,36863,616,48,Mar
13,Claude in Excel - Better than Copilot?,2026-03-10,18202,450,28,Mar
14,Alex The Analyst March Livestream!,2026-03-05,4897,147,7,Mar
15,Learn IDP in Databricks in Under 2 Hours!,2026-03-03,4430,110,8,Mar
16,End-To-End IDP Project in Databricks | PDFs to Useable Data in 30 Minutes,2026-02-24,7288,210,6,Feb
17,Ai_classify in Databricks,2026-02-17,3266,64,6,Feb
18,Ai_extract in Databricks,2026-02-10,3489,77,9,Feb
19,Ai_Parse_Document in Databricks | Pulling Text and Tabular Data from PDFs,2026-02-03,4351,112,10,Feb
20,What is IDP in Databricks?,2026-01-27,5354,148,11,Jan
21,How to Collaborate in Data Roles | Soft Skills in Tech,2026-01-20,3722,146,11,Jan
22,How to Learn to Solve Problems | Problem Solving Lifecycle | Soft Skills in Tech,2026-01-13,10550,462,18,Jan
23,Communication in Data Roles | Soft Skills in Tech,2026-01-06,10385,464,30,Jan
24,"What Does a Data Analyst Do: Meetings, Data, Excel, SQL",2025-12-30,12197,446,29,Dec
25,"Day in the Life of a Data Analyst: Meetings, SQL, So Much Food",2025-12-23,11609,417,33,Dec
26,Data Analyst Salary in 2025: $50k to $175k,2025-12-16,8319,290,49,Dec
27,Learn Databricks in Under 2 Hours,2025-12-09,157961,2966,138,Dec
28,Building an End-to-End Data Project in Databricks (Free Edition),2025-12-02,35618,814,40,Dec
29,Genie and AI in Databricks,2025-11-25,19506,414,22,Nov
30,Analyzing Data with SQL and Visualizations in Databricks,2025-11-18,17828,530,29,Nov
31,Working with Data in Databricks (Free Edition),2025-11-11,24533,723,50,Nov
32,Data is for Decision Making,2025-11-06,17442,816,10,Nov
33,Intro to Databricks (Free Edition) | UI Walkthrough,2025-11-04,88221,2670,64,Nov
34,"Job Market in 2025: Over Saturated, Low-Paying, Helpless",2025-10-28,27062,833,142,Oct
35,I just Turned 30 - What I've learned + Advice for You,2025-10-21,15458,978,213,Oct
36,Analystbuilder.com to practice SQL and Python on your Phone!,2025-10-20,10730,318,13,Oct
37,Excel is Key!,2025-10-16,10972,450,12,Oct
38,Learn Git and GitHub in 1 Hour!,2025-10-14,48039,1243,40,Oct
39,Working with Git and GitHub Together,2025-10-07,9105,172,6,Oct
40,Data Viz ain’t all that!,2025-10-03,12570,512,5,Oct
41,Connecting Git to GitHub,2025-09-30,14393,177,8,Sep
42,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-25,3512,120,7,Sep
43,Branching and Merging in Git,2025-09-23,5669,116,2,Sep
44,Communication is very important,2025-09-19,7971,321,13,Sep
45,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-18,2792,134,11,Sep
46,Reverting Back to a Previous Commit in Git,2025-09-16,9583,123,3,Sep
47,Why you’re not getting Interviews,2025-09-12,9841,380,5,Sep
48,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-12,3117,115,10,Sep
49,Basics of Git and using VS Code with Git,2025-09-09,18092,370,4,Sep
50,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-04,3297,134,7,Sep
51,Installing and Setting up Git and GitHub,2025-09-02,32822,571,14,Sep
52,SQL is King,2025-08-27,19761,870,22,Aug
53,What is Git and GitHub?,2025-08-26,29934,841,19,Aug
54,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-21,3398,129,11,Aug
55,Data Visualization and Presentation in R | R for Data Analytics Series,2025-08-19,5494,123,13,Aug
56,Things I Learned as a Data Analyst p1,2025-08-15,15823,558,20,Aug
57,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-14,3076,114,8,Aug
58,How to Remove Duplicates in an R Dataframe | R for Data Analytics Series,2025-08-12,3124,80,3,Aug
59,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-07,3238,112,19,Aug
60,Standardizing and Parsing Dates in R  using Lubridate | R for Data Analytics Series,2025-08-05,2318,55,6,Aug
61,Traditional applying to jobs is dead.,2025-08-01,21091,853,30,Aug
62,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-31,3509,153,13,Jul
63,Handling Missing Data in R | R for Data Analytics Series,2025-07-29,3310,78,7,Jul
64,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-24,3863,140,6,Jul
65,Don’t jump into Power BI first,2025-07-23,556143,10692,135,Jul
