,Title,Published_date,Views,Likes,Comments
0,DAX in Power BI,2026-05-22T12:42:39Z,5149,178,0
1,"2026 FREE Data Analyst Bootcamp [24 Hours+] for FREE | SQL, Excel, Python, Power BI, GitHub, AWS",2026-05-19T12:30:29Z,118538,8737,454
2,Should You Take Google's AI Certificate? My Honest Take,2026-05-11T15:00:58Z,9442,327,21
3,Switching to Mac after 10 years as a Microsoft User,2026-05-05T12:01:35Z,5422,211,71
4,Learn ETL Pipelines in Databricks in Under 1 Hour | Data Engineering in Databricks,2026-04-28T12:00:57Z,11482,366,9
5,Full End-to-End Data Engineering Project in Databricks,2026-04-21T12:00:48Z,12142,333,18
6,Alex The Analyst April Livestream!,2026-04-17T16:07:43Z,4744,151,4
7,Job Orchestration in Databricks | Data Engineering in Databricks,2026-04-14T12:01:35Z,4239,109,6
8,Building ETL Pipelines in Databricks | Data Engineering in Databricks,2026-04-07T12:01:38Z,11395,326,11
9,ETL vs ELT,2026-04-02T12:20:59Z,7517,314,7
10,Ingesting Data into Databricks | Data Engineering in Databricks,2026-03-31T12:00:54Z,8602,269,17
11,Semantic Layers in the Age of AI are 100% Needed,2026-03-24T12:00:30Z,8283,281,15
12,Microsoft Copilot Cowork Just Launched | Here's What You Need to Know,2026-03-17T12:00:26Z,36863,616,48
13,Claude in Excel - Better than Copilot?,2026-03-10T12:01:38Z,18202,450,28
14,Alex The Analyst March Livestream!,2026-03-05T15:17:03Z,4897,147,7
15,Learn IDP in Databricks in Under 2 Hours!,2026-03-03T13:01:32Z,4430,110,8
16,End-To-End IDP Project in Databricks | PDFs to Useable Data in 30 Minutes,2026-02-24T13:01:14Z,7288,210,6
17,Ai_classify in Databricks,2026-02-17T13:00:59Z,3266,64,6
18,Ai_extract in Databricks,2026-02-10T13:01:30Z,3489,77,9
19,Ai_Parse_Document in Databricks | Pulling Text and Tabular Data from PDFs,2026-02-03T13:00:07Z,4351,112,10
20,What is IDP in Databricks?,2026-01-27T13:00:39Z,5354,148,11
21,How to Collaborate in Data Roles | Soft Skills in Tech,2026-01-20T13:01:05Z,3722,146,11
22,How to Learn to Solve Problems | Problem Solving Lifecycle | Soft Skills in Tech,2026-01-13T13:01:53Z,10550,462,18
23,Communication in Data Roles | Soft Skills in Tech,2026-01-06T13:01:46Z,10385,464,30
24,"What Does a Data Analyst Do: Meetings, Data, Excel, SQL",2025-12-30T13:01:41Z,12197,446,29
25,"Day in the Life of a Data Analyst: Meetings, SQL, So Much Food",2025-12-23T13:00:40Z,11609,417,33
26,Data Analyst Salary in 2025: $50k to $175k,2025-12-16T13:01:15Z,8319,290,49
27,Learn Databricks in Under 2 Hours,2025-12-09T13:00:23Z,157961,2966,138
28,Building an End-to-End Data Project in Databricks (Free Edition),2025-12-02T13:01:37Z,35618,814,40
29,Genie and AI in Databricks,2025-11-25T13:00:42Z,19506,414,22
30,Analyzing Data with SQL and Visualizations in Databricks,2025-11-18T13:00:07Z,17828,530,29
31,Working with Data in Databricks (Free Edition),2025-11-11T13:00:54Z,24533,723,50
32,Data is for Decision Making,2025-11-06T13:22:22Z,17442,816,10
33,Intro to Databricks (Free Edition) | UI Walkthrough,2025-11-04T13:01:34Z,88221,2670,64
34,"Job Market in 2025: Over Saturated, Low-Paying, Helpless",2025-10-28T12:00:31Z,27062,833,142
35,I just Turned 30 - What I've learned + Advice for You,2025-10-21T12:00:48Z,15458,978,213
36,Analystbuilder.com to practice SQL and Python on your Phone!,2025-10-20T12:46:38Z,10730,318,13
37,Excel is Key!,2025-10-16T12:15:55Z,10972,450,12
38,Learn Git and GitHub in 1 Hour!,2025-10-14T04:00:57Z,48039,1243,40
39,Working with Git and GitHub Together,2025-10-07T12:01:32Z,9105,172,6
40,Data Viz ain’t all that!,2025-10-03T11:52:23Z,12570,512,5
41,Connecting Git to GitHub,2025-09-30T12:00:40Z,14393,177,8
42,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-25T14:10:51Z,3512,120,7
43,Branching and Merging in Git,2025-09-23T12:01:14Z,5669,116,2
44,Communication is very important,2025-09-19T12:25:58Z,7971,321,13
45,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-18T14:14:32Z,2792,134,11
46,Reverting Back to a Previous Commit in Git,2025-09-16T12:01:54Z,9583,123,3
47,Why you’re not getting Interviews,2025-09-12T11:41:07Z,9841,380,5
48,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-12T06:55:47Z,3117,115,10
49,Basics of Git and using VS Code with Git,2025-09-09T12:00:50Z,18092,370,4
50,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-04T14:07:30Z,3297,134,7
51,Installing and Setting up Git and GitHub,2025-09-02T12:01:51Z,32822,571,14
52,SQL is King,2025-08-27T11:05:28Z,19761,870,22
53,What is Git and GitHub?,2025-08-26T12:00:54Z,29934,841,19
54,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-21T14:09:29Z,3398,129,11
55,Data Visualization and Presentation in R | R for Data Analytics Series,2025-08-19T12:01:22Z,5494,123,13
56,Things I Learned as a Data Analyst p1,2025-08-15T11:46:04Z,15823,558,20
57,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-14T14:18:24Z,3076,114,8
58,How to Remove Duplicates in an R Dataframe | R for Data Analytics Series,2025-08-12T12:01:49Z,3124,80,3
59,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-07T14:31:54Z,3238,112,19
60,Standardizing and Parsing Dates in R  using Lubridate | R for Data Analytics Series,2025-08-05T12:01:44Z,2318,55,6
61,Traditional applying to jobs is dead.,2025-08-01T12:53:29Z,21091,853,30
62,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-31T14:45:09Z,3509,153,13
63,Handling Missing Data in R | R for Data Analytics Series,2025-07-29T12:01:31Z,3310,78,7
64,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-24T14:06:55Z,3863,140,6
65,Don’t jump into Power BI first,2025-07-23T12:47:30Z,556143,10692,135
66,Grouping and Aggregating Data in R | R for Data Analytics Series,2025-07-22T12:00:02Z,3161,57,5
67,Getting Buy-in is a very difficult skill to learn,2025-07-18T12:11:49Z,7600,230,6
68,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-17T14:41:40Z,4666,202,14
69,Filtering and Ordering Data in R | R for Data Analytics Series,2025-07-15T12:00:18Z,4121,81,6
70,If I got hired today here’s exactly what I would do!,2025-07-11T11:34:46Z,15495,824,10
71,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-10T14:21:00Z,5468,235,18
72,Reading and Writing Files in R | R for Data Analytics Series,2025-07-08T12:00:56Z,3656,83,6
73,Operators in R | R for Data Analytics Series,2025-07-01T12:00:58Z,6018,123,8
74,"Basics of R | Environment, Variables, Data Types | R for Data Analytics Series",2025-06-24T12:00:13Z,18248,203,11
75,Installing R and R Studio | R for Data Analytics Series,2025-06-17T12:00:48Z,32534,414,13
76,Best Resources to Learn Data Analytics in 2025,2025-06-10T12:00:19Z,29922,1132,49
77,Best Resources to Learn Data Visualization in 2025,2025-06-03T12:00:19Z,16639,433,30
78,Best Resources to Learn Excel in 2025,2025-05-27T12:01:27Z,22742,936,15
79,Best Resources to Learn Python in 2025,2025-05-20T12:01:32Z,27870,922,50
80,Best Resources to Learn SQL in 2025,2025-05-13T12:00:49Z,34166,1145,36
81,How to Practice for General Technical Interviews | Analyst Builder,2025-05-06T12:01:11Z,5817,193,18
82,How to Lie with Data | Biased Data Collection,2025-04-29T12:00:46Z,3835,108,12
83,How to Lie with Data | Correlations,2025-04-22T12:01:50Z,3680,135,18
84,How to Lie with Data | Cherry Picking Data,2025-04-15T12:00:53Z,4232,165,8
85,How to Lie with Data | Averages,2025-04-08T12:01:32Z,4674,238,15
86,How to Lie with Data | Percentages and Baseline Numbers,2025-04-01T12:00:46Z,4955,230,11
87,1 Million YouTube Play Button Unboxing!,2025-03-25T12:01:10Z,3782,249,81
88,Maven Analytics + Analyst Builder Lifetime Access (Ends March 31st),2025-03-24T12:00:07Z,9667,265,42
89,How to Lie with Data | Misleading Graphs,2025-03-18T12:01:07Z,8082,321,22
90,Where to find the Best Healthcare Data,2025-03-11T12:00:02Z,11632,569,26
91,1 Million Subscriber Livestream!! Giveaways + Chat,2025-03-05T17:07:10Z,10389,666,68
92,"Taking a look at Real Healthcare Data | ICD11, CPT, HCPCS, Claims",2025-03-04T13:00:44Z,15062,641,38
93,How to Become a Healthcare Analyst in 2025,2025-02-25T13:00:21Z,49752,2239,216
94,What is Healthcare Analytics?,2025-02-18T13:01:11Z,44646,1838,93
95,What is Data Cleaning? | Data Fundamentals for Beginners,2025-02-11T13:00:47Z,74010,1878,34
96,What is Data Collection? | Data Fundamentals for Beginners,2025-02-04T13:00:52Z,34022,975,19
97,What are File Types? | Data Fundamentals for Beginners,2025-01-28T13:00:34Z,19872,557,10
98,What are Data Types? | Data Fundamentals for Beginners,2025-01-21T13:00:55Z,22302,632,20
99,What are KPIs and Metrics? | Data Fundamental for Beginners,2025-01-14T13:00:34Z,50611,1690,41
100,What is Data? | Data Fundamentals for Beginners,2025-01-07T13:00:35Z,43378,1262,45
101,Is Big Tech Overrated in 2025? | Alex The Analyst Show Episode 28,2024-12-31T13:01:01Z,9099,312,67
102,Most Commonly Asked Questions by Aspiring Data Analysts,2024-12-24T13:00:39Z,16555,769,35
